"Subject","stimcol","trial","TargAcc","TotAcc","corrResp","procedure","kind","BuffOnset","TrialAcc","RT","n","Resp"
102,"red",1,0,100,2,"TrialProc","Nontarget",52318,1,780,2,2
102,"red",2,0,100,2,"TrialProc","Nontarget",54541,1,477,2,2
102,"red",3,0,100,2,"TrialProc","Nontarget",57115,1,524,2,2
102,"red",4,0,100,2,"TrialProc","Nontarget",59606,1,499,2,2
102,"red",5,0,100,2,"TrialProc","Nontarget",62030,1,409,2,2
102,"red",6,0,100,2,"TrialProc","Nontarget",64671,1,525,2,2
102,"red",7,0,100,2,"TrialProc","Nontarget",67379,1,710,2,2
102,"red",8,100,100,1,"TrialProc","Target",69703,1,515,2,1
102,"red",9,100,100,2,"TrialProc","Nontarget",72110,1,409,2,2
102,"red",10,100,100,2,"TrialProc","Nontarget",74651,1,423,2,2
102,"red",11,100,100,2,"TrialProc","Nontarget",77276,1,526,2,2
102,"red",12,50,91.66666667,1,"TrialProc","Target",80368,0,1097,2,2
102,"red",13,66.66666667,92.30769231,1,"TrialProc","Target",82642,1,838,2,1
102,"red",14,66.66666667,85.71428571,2,"TrialProc","Lure",84999,0,680,2,1
102,"red",15,66.66666667,86.66666667,2,"TrialProc","Nontarget",87406,1,576,2,2
102,"red",16,50,81.25,1,"TrialProc","Target",90131,0,773,2,2
102,"red",17,50,82.35294118,2,"TrialProc","Nontarget",92839,1,958,2,2
102,"red",18,50,83.33333333,2,"TrialProc","Nontarget",95062,1,653,2,2
102,"red",19,50,84.21052632,2,"TrialProc","Nontarget",97369,1,438,2,2
102,"red",20,60,85,1,"TrialProc","Target",99893,1,441,2,1
102,"red",21,60,85.71428571,2,"TrialProc","Nontarget",102434,1,463,2,2
102,"red",22,60,86.36363636,2,"TrialProc","Lure",105426,1,936,2,2
102,"red",23,60,86.95652174,2,"TrialProc","Nontarget",108151,1,1151,2,2
102,"red",24,66.66666667,87.5,1,"TrialProc","Target",110441,1,920,2,1
102,"red",25,71.42857143,88,1,"TrialProc","Target",113384,1,1352,2,1
102,"red",26,71.42857143,84.61538462,2,"TrialProc","Nontarget",116042,0,0,2,NA
102,"red",27,71.42857143,85.18518519,2,"TrialProc","Nontarget",117763,1,712,2,2
102,"red",28,71.42857143,85.71428571,2,"TrialProc","Lure",120522,1,944,2,2
102,"red",29,71.42857143,82.75862069,2,"TrialProc","Lure",123046,0,937,2,1
102,"red",30,71.42857143,83.33333333,2,"TrialProc","Nontarget",125537,1,902,2,2
102,"red",31,75,83.87096774,1,"TrialProc","Target",127944,1,790,2,1
102,"red",32,77.77777778,84.375,1,"TrialProc","Target",130501,1,831,2,1
102,"red",33,80,84.84848485,1,"TrialProc","Target",132925,1,748,2,1
102,"red",34,80,85.29411765,2,"TrialProc","Nontarget",135399,1,703,2,2
102,"red",35,72.72727273,82.85714286,1,"TrialProc","Target",138174,0,957,2,2
102,"red",36,72.72727273,83.33333333,2,"TrialProc","Nontarget",140481,1,744,2,2
102,"red",37,72.72727273,83.78378378,2,"TrialProc","Nontarget",143156,1,893,2,2
102,"red",38,75,84.21052632,1,"TrialProc","Target",145530,1,740,2,1
102,"red",39,75,84.61538462,2,"TrialProc","Nontarget",148054,1,740,2,2
102,"red",40,75,85,2,"TrialProc","Nontarget",150394,1,561,2,2
102,"red",41,75,85.36585366,2,"TrialProc","Lure",152919,1,558,2,2
102,"red",42,75,85.71428571,2,"TrialProc","Nontarget",155343,1,458,2,2
102,"red",43,75,86.04651163,2,"TrialProc","Nontarget",157817,1,404,2,2
102,"red",44,76.92307692,86.36363636,1,"TrialProc","Target",160441,1,500,2,1
102,"red",45,76.92307692,86.66666667,2,"TrialProc","Nontarget",162865,1,406,2,2
102,"red",46,76.92307692,86.95652174,2,"TrialProc","Nontarget",165506,1,532,2,2
102,"red",47,76.92307692,87.23404255,2,"TrialProc","Nontarget",168081,1,596,2,2
