Participant,Task,Mental_Dmnd,Phys_Dmnd,Temp_Dmnd,Perf,Effort,Frustration,NCS,DiffRating,EffRating,RelEffRating,n,ment,phys,temp,perf,effrt,frust,ncs
164,BLK,7.5,1.5,1.5,4.5,7.5,2.5,57,1,1,NA,NA,-0.987158243,-0.585025735,-1.94881989,-1.06755357,-0.887419889,-1.098942181,-0.536489652
164,RED,17.5,1.5,7.5,13.5,15.5,8.5,57,3,3,1,NA,0.827585912,-0.585025735,-0.791942448,0.673784357,0.506118856,-0.045062444,-0.536489652
164,BLU,20.5,1.5,7.5,15.5,14.5,14.5,57,6,6,2,NA,1.372009159,-0.585025735,-0.791942448,1.060748341,0.331926513,1.008817293,-0.536489652
164,PRP,20.5,1.5,8.5,20.5,20.5,17.5,57,10,10,2,NA,1.372009159,-0.585025735,-0.599129541,2.028158301,1.377080572,1.535757161,-0.536489652
165,BLK,11,1,6,3,8,4,56,1,1,NA,NA,-0.351997789,-0.696914849,-1.081161808,-1.357776558,-0.800323717,-0.835472247,-0.6267094
165,RED,14,1,11,3,11,3,56,2,3,0,NA,0.192425458,-0.696914849,-0.117097273,-1.357776558,-0.277746688,-1.011118869,-0.6267094
165,BLU,18,1,14,11,17,4,56,6,7,2,NA,0.91832312,-0.696914849,0.461341448,0.190079378,0.767407371,-0.835472247,-0.6267094
165,PRP,19,1,14,13,19,8,56,9,7,1.5,NA,1.099797535,-0.696914849,0.461341448,0.577043361,1.115792058,-0.132885755,-0.6267094
166,BLK,2.5,1.5,6.5,11.5,7.5,1.5,63,1,4,NA,NA,-1.89453032,-0.585025735,-0.984755355,0.286820374,-0.887419889,-1.274588804,0.004828835
166,RED,12.5,1.5,13.5,7.5,13.5,10.5,63,4,5,1,NA,-0.079786165,-0.585025735,0.364934995,-0.487107594,0.15773417,0.306230802,0.004828835
166,BLU,15.5,1.5,14.5,5.5,15.5,6.5,63,7,8,2,NA,0.464637081,-0.585025735,0.557747902,-0.874071578,0.506118856,-0.39635569,0.004828835
166,PRP,17.5,1.5,17.5,10.5,16.5,7.5,63,10,10,2,NA,0.827585912,-0.585025735,1.136186623,0.093338382,0.6803112,-0.220709067,0.004828835
167,BLK,11.5,1.5,12.5,3.5,4.5,1.5,50,1,1,NA,NA,-0.261260581,-0.585025735,0.172122088,-1.261035562,-1.409996919,-1.274588804,-1.168027886
167,RED,12.5,2.5,6.5,5.5,3.5,2.5,50,2,2,0,NA,-0.079786165,-0.361247508,-0.984755355,-0.874071578,-1.584189262,-1.098942181,-1.168027886
167,BLU,14.5,2.5,11.5,8.5,6.5,5.5,50,3,2,0,NA,0.283162666,-0.361247508,-0.02069082,-0.293625602,-1.061612232,-0.572002312,-1.168027886
167,PRP,18.5,2.5,5.5,8.5,13.5,11.5,50,7,5,2,NA,1.009060328,-0.361247508,-1.177568262,-0.293625602,0.15773417,0.481877425,-1.168027886
168,BLK,3.5,1.5,8.5,6.5,5.5,4.5,54,1,1,NA,NA,-1.713055905,-0.585025735,-0.599129541,-0.680589586,-1.235804575,-0.747648935,-0.807148895
168,RED,10.5,1.5,9.5,8.5,11.5,10.5,54,2,2,1,NA,-0.442734996,-0.585025735,-0.406316634,-0.293625602,-0.190650516,0.306230802,-0.807148895
168,BLU,15.5,1.5,9.5,11.5,14.5,4.5,54,4,6,2,NA,0.464637081,-0.585025735,-0.406316634,0.286820374,0.331926513,-0.747648935,-0.807148895
168,PRP,18.5,1.5,9.5,17.5,15.5,16.5,54,9,9,2,NA,1.009060328,-0.585025735,-0.406316634,1.447712325,0.506118856,1.360110539,-0.807148895
169,BLK,13.5,3.5,16.5,13.5,9.5,13.5,44,2,3,NA,NA,0.10168825,-0.13746928,0.943373716,0.673784357,-0.539035203,0.83317067,-1.709346373
169,RED,16.5,4.5,17.5,15.5,15.5,13.5,44,4,5,1,NA,0.646111497,0.086308947,1.136186623,1.060748341,0.506118856,0.83317067,-1.709346373
169,BLU,18.5,5.5,17.5,13.5,17.5,17.5,44,8,8,2,NA,1.009060328,0.310087175,1.136186623,0.673784357,0.854503543,1.535757161,-1.709346373
169,PRP,19.5,4.5,18.5,8.5,15.5,18.5,44,10,10,2,NA,1.190534743,0.086308947,1.32899953,-0.293625602,0.506118856,1.711403784,-1.709346373
