"","subnum","offered_points","offered_difficulty","nswitch","accuracy","response","MentalDemand","PhysicalDemand","TemporalDemand","Performance","Effort","Frustration"
"1",1744558,"12","0.8",7,0.888888888888889,1,15,1,17,10,16,13
"2",1744558,"12","0.2",1,0.888888888888889,1,3,1,2,17,6,2
"3",1744558,"6","0.2",2,0.888888888888889,1,3,1,2,17,6,2
"4",1744558,"3","0.8",8,1,1,15,1,17,10,16,13
"5",1744558,"3","0.2",2,0.888888888888889,1,3,1,2,17,6,2
"6",1744558,"3","0.4",4,1,1,1,1,4,18,8,5
"7",1744558,"9","0.4",4,1,1,1,1,4,18,8,5
"8",1744558,"6","0.4",4,0.888888888888889,1,1,1,4,18,8,5
"9",1744558,"3","0.8",8,1,1,15,1,17,10,16,13
"10",1744558,"12","0.6",6,1,1,11,1,11,14,13,12
"11",1744558,"12","0.6",5,0.888888888888889,1,11,1,11,14,13,12
"12",1744558,"12","0.4",4,1,1,1,1,4,18,8,5
"13",1744558,"3","0.2",1,1,1,3,1,2,17,6,2
"14",1744558,"12","0.2",1,1,1,3,1,2,17,6,2
"15",1744558,"12","0.8",7,0.888888888888889,1,15,1,17,10,16,13
"16",1744558,"6","0.8",7,0.888888888888889,1,15,1,17,10,16,13
"17",1744558,"3","0.4",4,0.888888888888889,1,1,1,4,18,8,5
"18",1744558,"6","0.8",7,1,1,15,1,17,10,16,13
"19",1744558,"9","0.6",5,1,1,11,1,11,14,13,12
"20",1744558,"3","0.6",5,1,1,11,1,11,14,13,12
"21",1744558,"12","0.4",3,0.888888888888889,1,1,1,4,18,8,5
"22",1744558,"3","0.2",1,1,1,3,1,2,17,6,2
"23",1744558,"6","0.8",7,1,1,15,1,17,10,16,13
"24",1744558,"6","0.8",7,0.777777777777778,0,15,1,17,10,16,13
"25",1744558,"9","0.8",8,1,1,15,1,17,10,16,13
"26",1744558,"12","0.6",5,0.888888888888889,1,11,1,11,14,13,12
"27",1744558,"3","0.6",6,1,1,11,1,11,14,13,12
"28",1744558,"9","0.8",7,0.888888888888889,1,15,1,17,10,16,13
"29",1744558,"12","0.4",4,1,1,1,1,4,18,8,5
"30",1744558,"6","0.4",3,0.888888888888889,1,1,1,4,18,8,5
"31",1744558,"12","0.6",5,0.777777777777778,0,11,1,11,14,13,12
"32",1744558,"6","0.6",6,1,1,11,1,11,14,13,12
"33",1744558,"12","0.2",1,0.888888888888889,1,3,1,2,17,6,2
"34",1744558,"3","0.8",8,0.777777777777778,0,15,1,17,10,16,13
"35",1744558,"9","0.2",1,1,1,3,1,2,17,6,2
"36",1744558,"12","0.4",3,1,1,1,1,4,18,8,5
"37",1744558,"9","0.2",1,1,1,3,1,2,17,6,2
"38",1744558,"9","0.6",5,0.888888888888889,1,11,1,11,14,13,12
"39",1744558,"9","0.6",6,0.888888888888889,1,11,1,11,14,13,12
"40",1744558,"3","0.2",1,1,1,3,1,2,17,6,2
"41",1744558,"3","0.4",4,1,1,1,1,4,18,8,5
"42",1744558,"3","0.8",7,1,1,15,1,17,10,16,13
"43",1744558,"12","0.8",8,0.888888888888889,1,15,1,17,10,16,13
