"Subject","stimcol","trial","TargAcc","TotAcc","corrResp","procedure","kind","BuffOnset","TrialAcc","RT","n","Resp"
165,"black",1,0,0,2,"TrialProc","Nontarget",134157,0,0,1,NA
165,"black",2,0,0,2,"TrialProc","Nontarget",137668,0,0,1,NA
165,"black",3,0,0,2,"TrialProc","Nontarget",141178,0,0,1,NA
165,"black",4,100,25,1,"TrialProc","Target",143853,1,658,1,1
165,"black",5,100,40,2,"TrialProc","Nontarget",147631,1,909,1,2
165,"black",6,100,50,2,"TrialProc","Nontarget",150723,1,467,1,2
165,"black",7,100,57.14285714,2,"TrialProc","Nontarget",154317,1,546,1,2
165,"black",8,100,62.5,2,"TrialProc","Lure",157778,1,493,1,2
165,"black",9,100,66.66666667,1,"TrialProc","Target",161171,1,373,1,1
165,"black",10,100,70,2,"TrialProc","Nontarget",164749,1,419,1,2
165,"black",11,100,72.72727273,2,"TrialProc","Nontarget",168209,1,357,1,2
165,"black",12,100,75,2,"TrialProc","Nontarget",171703,1,332,1,2
165,"black",13,100,76.92307692,1,"TrialProc","Target",175180,1,293,1,1
165,"black",14,100,78.57142857,2,"TrialProc","Nontarget",178908,1,502,1,2
165,"black",15,100,80,2,"TrialProc","Nontarget",182318,1,396,1,2
165,"black",16,100,81.25,1,"TrialProc","Target",185996,1,566,1,1
165,"black",17,100,82.35294118,2,"TrialProc","Nontarget",189372,1,420,1,2
165,"black",18,100,83.33333333,2,"TrialProc","Lure",192816,1,335,1,2
165,"black",19,100,84.21052632,2,"TrialProc","Nontarget",196327,1,316,1,2
165,"black",20,100,85,2,"TrialProc","Nontarget",199854,1,329,1,2
165,"black",21,100,85.71428571,2,"TrialProc","Nontarget",203398,1,356,1,2
165,"black",22,100,86.36363636,2,"TrialProc","Lure",206908,1,336,1,2
165,"black",23,100,86.95652174,2,"TrialProc","Nontarget",210519,1,423,1,2
165,"black",24,100,87.5,2,"TrialProc","Lure",213946,1,324,1,2
165,"black",25,100,88,2,"TrialProc","Nontarget",217540,1,385,1,2
165,"black",26,100,88.46153846,2,"TrialProc","Lure",221034,1,366,1,2
165,"black",27,100,88.88888889,2,"TrialProc","Nontarget",224611,1,416,1,2
165,"black",28,100,89.28571429,2,"TrialProc","Lure",228155,1,433,1,2
165,"black",29,100,89.65517241,2,"TrialProc","Nontarget",231565,1,330,1,2
165,"black",30,100,90,2,"TrialProc","Lure",235109,1,365,1,2
165,"black",31,100,90.32258065,1,"TrialProc","Target",238620,1,361,1,1
165,"black",32,100,90.625,2,"TrialProc","Nontarget",242131,1,367,1,2
165,"black",33,100,90.90909091,2,"TrialProc","Nontarget",245607,1,318,1,2
165,"black",34,100,91.17647059,2,"TrialProc","Nontarget",249135,1,327,1,2
165,"black",35,100,91.42857143,1,"TrialProc","Target",252795,1,471,1,1
165,"black",36,100,91.66666667,2,"TrialProc","Nontarget",256222,1,374,1,2
165,"black",37,100,91.89189189,1,"TrialProc","Target",259817,1,436,1,1
165,"black",38,100,92.10526316,2,"TrialProc","Nontarget",263227,1,322,1,2
165,"black",39,100,92.30769231,2,"TrialProc","Nontarget",266771,1,338,1,2
165,"black",40,100,92.5,2,"TrialProc","Nontarget",270331,1,371,1,2
165,"black",41,100,92.68292683,1,"TrialProc","Target",273992,1,514,1,1
165,"black",42,100,92.85714286,2,"TrialProc","Nontarget",277402,1,401,1,2
165,"black",43,100,93.02325581,2,"TrialProc","Nontarget",280846,1,330,1,2
165,"black",44,100,93.18181818,1,"TrialProc","Target",284507,1,482,1,1
165,"black",45,100,93.33333333,2,"TrialProc","Nontarget",287867,1,330,1,2
165,"black",46,100,93.47826087,1,"TrialProc","Target",291428,1,382,1,1
165,"black",47,100,93.61702128,1,"TrialProc","Target",294938,1,369,1,1
165,"black",48,100,93.75,2,"TrialProc","Nontarget",298465,1,372,1,2
165,"black",49,100,93.87755102,2,"TrialProc","Nontarget",302093,1,476,1,2
165,"black",50,100,94,2,"TrialProc","Nontarget",305470,1,348,1,2
165,"black",51,100,94.11764706,2,"TrialProc","Lure",309264,1,622,1,2
165,"black",52,100,94.23076923,1,"TrialProc","Target",312775,1,603,1,1
165,"black",53,100,94.33962264,2,"TrialProc","Nontarget",316135,1,441,1,2
165,"black",54,100,94.44444444,1,"TrialProc","Target",319579,1,360,1,1
165,"black",55,100,94.54545455,1,"TrialProc","Target",323173,1,444,1,1
165,"black",56,100,94.64285714,2,"TrialProc","Nontarget",326583,1,348,1,2
165,"black",57,100,94.73684211,2,"TrialProc","Nontarget",330110,1,351,1,2
165,"black",58,100,94.82758621,1,"TrialProc","Target",333838,1,566,1,1
165,"black",59,100,94.91525424,2,"TrialProc","Nontarget",337165,1,379,1,2
165,"black",60,100,95,2,"TrialProc","Nontarget",341143,1,849,1,2
165,"black",61,100,95.08196721,1,"TrialProc","Target",344186,1,368,1,1
165,"black",62,100,95.16129032,2,"TrialProc","Nontarget",347763,1,417,1,2
165,"black",63,100,95.23809524,2,"TrialProc","Nontarget",351692,1,833,1,2
165,"black",64,100,95.3125,2,"TrialProc","Nontarget",354784,1,415,1,2
165,"blue",1,0,100,2,"TrialProc","Nontarget",65883,1,834,3,2
165,"blue",2,0,100,2,"TrialProc","Nontarget",69209,1,636,3,2
165,"blue",3,0,100,2,"TrialProc","Nontarget",73037,1,944,3,2
165,"blue",4,0,100,2,"TrialProc","Nontarget",76665,1,1062,3,2
165,"blue",5,0,100,2,"TrialProc","Nontarget",80209,1,1096,3,2
165,"blue",6,0,100,2,"TrialProc","Nontarget",83753,1,1122,3,2
165,"blue",7,0,100,2,"TrialProc","Nontarget",87347,1,1201,3,2
165,"blue",8,0,100,2,"TrialProc","Nontarget",90790,1,1133,3,2
165,"blue",9,0,88.88888889,1,"TrialProc","Target",94485,0,1313,3,2
165,"blue",10,0,90,2,"TrialProc","Nontarget",97577,1,895,3,2
165,"blue",11,0,90.90909091,2,"TrialProc","Nontarget",101573,1,1374,3,2
165,"blue",12,0,83.33333333,2,"TrialProc","Nontarget",105217,0,0,3,NA
165,"blue",13,50,84.61538462,1,"TrialProc","Target",108510,1,1271,3,1
165,"blue",14,50,78.57142857,2,"TrialProc","Lure",112255,0,0,3,NA
165,"blue",15,33.33333333,73.33333333,1,"TrialProc","Target",115765,0,0,3,NA
165,"blue",16,33.33333333,75,2,"TrialProc","Lure",118757,1,973,3,2
165,"blue",17,33.33333333,76.47058824,2,"TrialProc","Nontarget",122669,1,1359,3,2
165,"blue",18,33.33333333,77.77777778,2,"TrialProc","Nontarget",126180,1,1349,3,2
165,"blue",19,33.33333333,78.94736842,2,"TrialProc","Nontarget",129657,1,1312,3,2
165,"blue",20,33.33333333,80,2,"TrialProc","Nontarget",133050,1,1194,3,2
165,"blue",21,33.33333333,80.95238095,2,"TrialProc","Nontarget",136410,1,1028,3,2
165,"blue",22,33.33333333,81.81818182,2,"TrialProc","Nontarget",139469,1,580,3,2
165,"blue",23,33.33333333,78.26086957,2,"TrialProc","Lure",143766,0,1362,3,1
165,"blue",24,50,79.16666667,1,"TrialProc","Target",147076,1,1144,3,1
165,"blue",25,50,80,2,"TrialProc","Lure",150319,1,853,3,2
165,"blue",26,50,80.76923077,2,"TrialProc","Nontarget",153478,1,497,3,2
165,"blue",27,50,81.48148148,2,"TrialProc","Nontarget",157707,1,1213,3,2
165,"blue",28,50,82.14285714,2,"TrialProc","Nontarget",161485,1,1480,3,2
165,"blue",29,50,82.75862069,2,"TrialProc","Nontarget",164728,1,1211,3,2
